# Mediçao de tempo de algoritmos de busca (WORST CASE): 
#Tamanho       LSearch        BSearch        BSearch_Rec    LBound         UBound         TSearch        ISearch        ESearch        
80000000       15210133.04    122.69         133.37         122.27         121.43         128.14         115.98         123.39         
81000000       13452602.37    123.04         138.18         144.53         118.99         113.83         115.71         132.54         
82000000       15073625.99    114.80         134.34         118.57         124.65         115.16         133.16         110.75         
83000000       13346989.65    118.09         131.90         119.14         123.88         116.49         116.49         116.97         
84000000       15546864.24    122.83         133.58         116.33         122.56         115.85         125.13         115.64         
85000000       14787337.31    120.67         133.03         118.79         117.53         115.93         120.88         113.69         
86000000       16010653.00    121.79         134.07         113.76         129.04         119.49         137.77         130.58         
87000000       15620054.85    118.99         130.29         114.17         120.95         127.23         123.46         114.67         
88000000       13758172.47    128.97         127.58         113.00         118.64         132.04         122.00         118.79         
89000000       16914482.20    116.34         143.49         113.55         120.18         127.09         118.30         197.99         
90000000       14950318.23    130.78         132.25         121.37         124.99         128.06         116.20         112.85         
91000000       15548249.11    128.42         132.81         125.76         122.00         123.74         118.72         116.90         
92000000       16881274.26    138.11         131.42         119.98         117.39         127.37         120.67         118.44         
93000000       15511793.37    127.58         136.80         134.00         124.71         119.06         120.53         131.00         
94000000       16809878.82    128.42         129.32         118.58         127.50         124.37         128.84         113.62         
95000000       17512422.09    133.10         127.29         122.61         119.76         121.78         117.60         110.34         
96000000       17778863.75    141.75         130.30         116.06         120.03         119.06         125.21         108.74         
97000000       16789945.77    128.34         136.44         120.25         126.67         119.97         115.01         121.36         
98000000       16900598.92    121.37         131.14         121.50         128.97         128.00         116.56         108.73         
99000000       16084153.23    123.11         129.88         123.81         128.42         123.25         122.34         109.15         
